"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S730","2020-04-09 00:00:00","110.000","27.000","6.400","22.100","0.850","1003.600","","0.000","-99.000","-99.000","-99.000","24.300","","20.200",""
"C0T790","2020-04-09 00:00:00","2830.000","282.000","0.800","6.300","0.850","727.100","","0.000","-99.000","-99.000","-99.000","13.600","","3.900",""
"C0V750","2020-04-09 00:00:00","50.000","29.000","0.900","21.400","0.830","1011.900","","0.000","-99.000","-99.000","-99.000","27.900","","16.900",""
"C0K530","2020-04-09 00:00:00","12.000","33.000","2.000","19.900","0.810","1015.300","","0.000","-99.000","-99.000","-99.000","22.500","","17.400",""
"C0M780","2020-04-09 00:00:00","30.000","0.000","0.000","19.600","0.840","1013.600","","0.000","-99.000","-99.000","-99.000","26.200","","15.100",""
"C0V360","2020-04-09 00:00:00","94.000","303.000","0.300","18.800","0.890","1005.400","","0.000","-99.000","-99.000","-99.000","28.300","","15.200",""
"C0K510","2020-04-09 00:00:00","10.000","57.000","0.600","19.000","0.870","1014.800","","0.000","-99.000","-99.000","-99.000","24.100","","16.000",""
"C0D650","2020-04-09 00:00:00","97.000","46.000","2.400","18.200","0.770","1005.700","","0.000","-99.000","-99.000","-99.000","19.500","","15.900",""
"C0V630","2020-04-09 00:00:00","19.000","356.000","0.900","20.900","0.810","1014.200","","0.000","-99.000","-99.000","-99.000","25.000","","16.600",""
"C0U910","2020-04-09 00:00:00","17.000","333.000","1.300","19.200","0.840","1015.800","","0.000","-99.000","-99.000","-99.000","20.900","","16.800",""
"C0U600","2020-04-09 00:00:00","10.000","267.000","0.400","18.500","0.990","1016.200","","0.000","-99.000","-99.000","-99.000","21.600","","16.300",""
"C0G820","2020-04-09 00:00:00","29.000","13.000","0.400","19.700","0.840","1012.400","","0.000","-99.000","-99.000","-99.000","25.300","","15.200",""
"C0R590","2020-04-09 00:00:00","72.000","62.000","1.400","21.300","0.990","1007.900","","0.000","-99.000","-99.000","-99.000","27.300","","17.000",""
